Maker,Model,Adv_year,Adv_month,Color,Reg_year,Bodytype,Runned_Miles,Engin_size,Gearbox,Fuel_type,Price,Seat_num,Door_num,issue,issue_id,Adv_day,breakdown_date,repair_complexity,repair_cost,repair_hours,Claim,category_anomaly,repair_date
Dodge,Journey,2018,5,Red,2009,SUV,56000,2.4L,Manual,Petrol,4795,7,5,Excessive Emissions,0,3,5/3/18,4,84.3155,4,0,0,5/4/18
DS,4,2018,5,Grey,2018,Hatchback,10,1.2L,Manual,Petrol,17998,5,5,Gear Box Issue,0,11,5/11/18,2,259.98,4,0,0,5/12/18
Ford,Fiesta,2018,7,White,2017,Hatchback,27586,1.25L,Manual,Petrol,8621,5,5,Radiator Leaking,0,21,7/21/18,1,212.42,2,0,0,7/21/18
Ford,Ranger,2018,2,Silver,2015,Pickup,89000,2.2L,Manual,Diesel,13680,17,4,Engine Issue,1,11,2/11/18,1,2896,8,1,0,2/13/18
Ford,Focus,2021,4,Blue,2019,Hatchback,6400,2.0L,Automatic,Diesel,15000,5,5,Gear Box Issue,0,26,4/26/21,1,190,2,0,0,4/26/21
Bentley,Continental,2018,1,Blue,2004,Coupe,49972,6.0L,Automatic,Petrol,23975,4,2,Transmission Issue,2,21,1/21/18,3,347.825,9,0,0,1/23/18
Citroen,C3,2018,5,Beige,2004,Hatchback,70000,1.4L,Manual,Petrol,1250,5,5,Radiator Leaking,0,2,5/2/18,2,105,4,0,0,5/3/18
Ford,Fusion,2018,5,Silver,2004,Hatchback,76115,1.6L,Manual,Petrol,1795,5,5,Warning Light,0,13,5/13/18,1,197.95,9,0,0,5/15/18
Honda,Jazz,2018,8,Black,2006,Hatchback,102833,1.4L,Manual,Petrol,1250,5,5,Gear Box Issue,0,18,8/18/18,1,52.5,2,0,0,8/18/18
Citroen,C4 Picasso,2018,6,Blue,2018,MPV,10,1.6L,Manual,Diesel,18490,5,5,Sensor Malfunction,0,9,6/9/18,2,1044.5,6,0,0,6/10/18
Ford,Ka+,2018,7,Grey,2018,Hatchback,5,1.2L,Manual,Petrol,9595,5,5,Transmission Issue,3,22,7/22/18,1,246.355,8,0,0,7/24/18
Ford,Kuga,2018,4,Red,2015,SUV,30374,2.0L,Manual,Diesel,12499,5,5,Excessive Emissions,0,7,4/7/18,1,31.2491,1,0,0,4/7/18
Citroen,C4 Cactus,2018,4,Black,2014,Hatchback,52534,1.6L,Manual,Diesel,7495,5,5,Starter Motor Issue,0,26,4/26/18,2,194.95,6,0,0,4/27/18
Ford,Fiesta,2018,4,Blue,2008,Hatchback,112000,1.4L,Manual,Diesel,1795,5,3,Radiator Leaking,0,20,4/20/18,1,75.9,2,0,0,4/20/18
Ford,Kuga,2018,4,Gelb,2016,SUV,18403,2.0L,Manual,Diesel,18499,5,5,Electrical Issue,3,19,4/19/18,1,442.182039,1,1,1,4/19/18
Ford,Transit Custom,2021,3,Orange,2019,Combi Van,23900,2.0L,Manual,Diesel,32988,6,5,Gear Box Issue,0,14,3/14/21,1,369.88,2,0,0,3/14/21
Fiat,500,2018,8,White,2009,Hatchback,68000,1.2L,Manual,Petrol,3995,4,3,Engine Issue,3,13,8/13/18,1,639.5,12,0,0,8/16/18
Ford,C-Max,2018,5,Blue,2015,MPV,54608,1.6L,Manual,Diesel,7390,5,5,Flat Tyres,0,26,5/26/18,1,22.217,1,0,0,5/26/18
Ford,Fiesta,2018,5,Red,2017,Hatchback,8103,1.25L,Manual,Petrol,10495,5,5,Alternator Failing,0,19,5/19/18,1,249.9,2,0,0,5/19/18
Citroen,DS3,2018,5,Black,2012,Hatchback,22057,1.6L,Manual,Petrol,6458,5,3,Warning Light,0,15,5/15/18,2,2231.288111,18,1,0,5/19/18
Ford,Fiesta,2018,7,Black,2008,Hatchback,99000,1.4L,Manual,Petrol,1895,5,5,Starter Motor Issue,0,7,7/7/18,1,308.6033939,3,1,0,7/7/18
Citroen,C1,2018,4,Red,2007,Hatchback,58000,1.0L,Manual,Petrol,1995,4,3,Gear Box Issue,0,22,4/22/18,2,99.95,4,0,0,4/23/18
Citroen,C3 Aircross,2018,6,Blue,2018,SUV,1239,1.2L,Manual,Petrol,12467,5,5,Alternator Failing,0,10,6/10/18,2,329.34,4,0,0,6/11/18
Ford,Mondeo,2018,8,Silver,2011,Estate,80900,2.0L,Automatic,Diesel,6500,5,5,Radiator Leaking,0,2,8/2/18,1,170,2,0,0,8/2/18
Fiat,500,2018,8,Beige,2014,Hatchback,12922,1.2L,Manual,Petrol,6699,4,3,Radiator Leaking,0,12,8/12/18,1,173.98,2,0,0,8/12/18
Ford,Ka,2018,6,White,2011,Hatchback,54000,1.2L,Manual,Petrol,3490,4,3,Radiator Leaking,0,28,6/28/18,1,109.8,2,0,0,6/28/18
Bentley,Continental,2018,2,Black,2010,Coupe,27000,6.0L,Automatic,Petrol,59990,4,2,Starter Motor Issue,0,7,2/7/18,3,779.9,9,0,0,2/9/18
Ford,Focus C-Max,2018,7,Blue,2005,MPV,105000,1.8L,Manual,Petrol,1150,5,5,Windscreen Crack,0,20,7/20/18,1,20.69,1,0,0,7/20/18
Ford,B-Max,2018,4,Gelb,2012,MPV,18176,1.0L,Manual,Petrol,7298,5,5,Windscreen Crack,0,19,4/19/18,1,24.3788,1,1,1,4/19/18
Citroen,DS3,2018,6,Yellow,2013,Hatchback,74000,1.6L,Manual,Petrol,4995,5,3,Steering Wheel Shaking,0,28,6/28/18,2,44.995,2,0,0,6/28/18
Ford,Galaxy,2018,5,Grey,2008,MPV,170000,2.0L,Manual,Diesel,2400,7,5,Flat Tyres,0,11,5/11/18,1,20.72,1,0,0,5/11/18
Fiat,500C,2018,3,White,2011,Convertible,58997,1.2L,Manual,Petrol,4490,4,2,Warning Light,0,27,3/27/18,1,224.9,9,0,0,3/29/18
Fiat,500,2018,8,Black,2009,Hatchback,68594,1.2L,Manual,Petrol,3995,4,3,Sensor Malfunction,0,26,8/26/18,1,891.1518535,982.4281245,1,0,8/31/18
Fiat,500,2018,7,Green,2017,Hatchback,2936,1.2L,Manual,Petrol,9200,4,3,Electrical Issue,1,9,7/9/18,1,49.2,2,0,0,7/9/18
Chrysler,PT Cruiser,2018,3,Silver,2007,Hatchback,111000,2.2L,Manual,Diesel,1290,5,5,Warning Light,0,25,3/25/18,3,552.9,27,0,0,3/31/18
Fiat,500,2018,7,Blue,2009,Hatchback,81000,1.2L,Manual,Petrol,1850,4,3,Engine Issue,3,16,7/16/18,1,2046.420761,12,1,0,7/19/18
Ford,Focus,2018,7,Silver,2003,Hatchback,106000,1.6L,Manual,Petrol,745,5,5,Electrical Issue,5,25,7/25/18,1,60.745,3,0,0,7/25/18
Ford,Focus,2018,7,Black,2011,Hatchback,84345,1.6L,Manual,Petrol,5799,5,5,Brake Pads Worn,0,13,7/13/18,1,42.8995,2,0,0,7/13/18
Ford,Fiesta,2018,8,Bronze,2017,Hatchback,4709,1.0L,Manual,Petrol,14000,5,5,Brake Pads Worn,0,4,8/4/18,1,47,2,0,0,8/4/18
Ford,Kuga,2021,6,Silver,2019,SUV,22641,2.0L,Manual,Diesel,18999,5,5,Sensor Malfunction,0,8,6/8/21,1,1009.95,3,0,0,6/8/21
Honda,Jazz,2018,8,Blue,2002,Hatchback,69000,1.4L,Manual,Petrol,1250,5,5,Electrical Issue,4,9,8/9/18,1,43.75,2,0,0,8/9/18
Dacia,Sandero Stepway,2018,4,Gelb,2015,Hatchback,20000,1.5L,Manual,Diesel,6990,5,5,Flat Tyres,0,17,4/17/18,1,127.0547251,1,1,1,4/17/18
Ford,Focus,2018,7,Red,2015,Hatchback,55136,1.6L,Automatic,Petrol,7750,5,5,Warning Light,0,3,7/3/18,1,1135.15018,993.4960424,1,0,7/11/18
Ford,Grand C-Max,2018,5,Red,2016,MPV,9384,1.0L,Manual,Petrol,15990,5,5,Starter Motor Issue,0,2,5/2/18,1,219.9,3,0,0,5/2/18
Honda,CR-V,2018,5,Bronze,2016,SUV,24757,1.6L,Automatic,Diesel,21000,5,5,Steering Wheel Shaking,0,15,5/15/18,1,41,1,0,0,5/15/18
Honda,CR-V,2018,8,Black,2007,SUV,104000,2.2L,Manual,Diesel,4990,5,5,Steering Wheel Shaking,0,21,8/21/18,1,24.99,1,0,0,8/21/18
Hyundai,i30,2018,4,White,2012,Hatchback,60158,1.6L,Manual,Diesel,6195,5,5,Alternator Failing,0,21,4/21/18,1,695.8239879,2,1,0,4/21/18
Ford,Fiesta,2018,1,Bronze,2017,Hatchback,9600,1.0L,Manual,Petrol,17000,5,5,Electrical Issue,5,19,1/19/18,1,77,3,0,0,1/19/18
Citroen,C3 Picasso,2018,4,Red,2015,MPV,27000,1.6L,Manual,Diesel,6919,5,5,Warning Light,0,27,4/27/18,2,429.19,18,0,0,5/1/18
Ford,Galaxy,2018,5,Black,2008,MPV,240000,2.0L,Automatic,Diesel,1650,7,5,Transmission Issue,2,2,5/2/18,1,71.55,3,0,0,5/2/18
Fiat,500,2021,6,Grey,2019,Hatchback,4513,1.2L,Manual,Petrol,9500,4,3,Gear Box Issue,0,26,6/26/21,1,135,2,0,0,6/26/21
Citroen,C3,2018,8,Red,2015,Hatchback,40386,1.6L,Manual,Diesel,6541,5,5,Starter Motor Issue,0,5,8/5/18,2,185.41,6,0,0,8/6/18
Ford,S-Max,2018,8,White,2012,MPV,57674,2.0L,Automatic,Diesel,13475,7,5,Brake Pads Worn,0,21,8/21/18,1,158.9092126,2,1,0,8/21/18
Citroen,C3,2018,5,Blue,2017,Hatchback,16006,1.2L,Manual,Petrol,10500,5,5,Transmission Issue,1,8,5/8/18,2,191.5,8,0,0,5/10/18
Ford,Fiesta,2018,8,Grey,2010,Hatchback,32500,1.6L,Manual,Petrol,4675,5,3,Transmission Issue,2,6,8/6/18,1,92.725,3,0,0,8/6/18
Bentley,Mulsanne,2018,5,Black,2015,Saloon,10000,6.75L,Automatic,Petrol,124950,5,4,Windscreen Crack,0,7,5/7/18,3,134.97,3,0,0,5/7/18
Ford,EcoSport,2021,5,Black,2019,SUV,8148,1.0L,Manual,Petrol,14307,5,5,Sensor Malfunction,0,16,5/16/21,1,775.35,3,0,0,5/16/21
Fiat,Panda,2018,4,White,2010,Hatchback,65000,1.1L,Manual,Petrol,2500,4,5,Electrical Issue,4,16,4/16/18,1,47.5,2,0,0,4/16/18
Ford,Focus,2018,5,Gelb,2012,Hatchback,56643,1.0L,Manual,Petrol,6450,5,5,Brake Pads Worn,0,10,5/10/18,1,43.225,2,1,1,5/10/18
Fiat,Punto,2018,5,Black,2004,Hatchback,96000,1.2L,Manual,Petrol,650,5,3,Brake Pads Worn,0,11,5/11/18,1,162.0138028,140.8636497,1,0,5/16/18
Ford,Ka,2018,7,Blue,2005,Hatchback,39061,1.3L,Manual,Petrol,1195,4,3,Engine Issue,2,25,7/25/18,1,499.25,16,0,0,7/29/18
Ford,Focus,2018,4,Gelb,2008,Hatchback,89451,1.6L,Manual,Petrol,3550,5,5,Brake Pads Worn,0,10,4/10/18,1,41.775,2,1,1,4/10/18
Ford,Fusion,2018,5,Green,2003,Hatchback,80000,1.4L,Manual,Petrol,889,5,5,Windscreen Crack,0,23,5/23/18,1,20.5334,1,0,0,5/23/18
Ford,Ka,2018,7,Silver,2015,Hatchback,25899,1.2L,Manual,Petrol,5500,4,3,Windscreen Crack,0,2,7/2/18,1,23.3,1,0,0,7/2/18
Ford,Focus,2018,5,Gelb,2013,Hatchback,98000,1.6L,Manual,Diesel,4795,5,5,Starter Motor Issue,0,16,5/16/18,1,107.95,3,1,1,5/16/18
Ford,Focus,2021,5,Black,2019,Hatchback,20842,1.5L,Manual,Petrol,16009,5,5,Starter Motor Issue,0,19,5/19/21,1,220.09,3,0,0,5/19/21
Citroen,C3,2021,4,Black,2019,Hatchback,12243,1.2L,Manual,Petrol,9793,5,5,Electrical Issue,4,26,4/26/21,2,109.379,4,0,0,4/27/21
Ford,Fiesta,2018,7,White,2008,Hatchback,96206,2.0L,Manual,Petrol,3250,5,3,Windscreen Crack,0,15,7/15/18,1,21.95,1,0,0,7/15/18
Ford,C-Max,2018,7,Black,2010,MPV,74319,1.6L,Manual,Petrol,4500,5,5,Engine Issue,4,11,7/11/18,1,425,10,0,0,7/13/18
Ferrari,California,2018,8,Red,2010,Coupe,8073,999.0L,Hybrid,Petrol,99950,4,3,Tyre Alignment,0,19,8/19/18,3,39.995,1.5,1,1,8/19/18
Citroen,Grand C4 Picasso,2018,8,Blue,2011,MPV,71180,1.6L,Automatic,Diesel,4995,7,5,Transmission Issue,2,27,8/27/18,2,154.965,6,0,0,8/28/18
Fiat,500,2018,6,Blue,2015,Hatchback,21449,1.2L,Manual,Petrol,7000,4,3,Flat Tyres,0,18,6/18/18,1,22.1,1,0,0,6/18/18
Fiat,Panda,2018,5,Red,2008,Hatchback,48100,1.4L,Manual,Petrol,3695,4,5,Brake Pads Worn,0,13,5/13/18,1,41.8475,2,0,0,5/13/18
Fiat,500,2021,4,Red,2019,Hatchback,12064,1.2L,Manual,Petrol,7999,4,3,Excessive Emissions,0,19,4/19/21,1,27.1991,1,0,0,4/19/21
Fiat,500X,2018,8,Grey,2017,SUV,17406,1.6L,Manual,Diesel,11480,5,5,Transmission Issue,3,5,8/5/18,1,263.32,8,0,0,8/7/18
Bentley,Bentayga,2018,8,Silver,2018,SUV,10,4.0L,Automatic,Petrol,192745,5,5,Brake Pads Worn,0,22,8/22/18,3,216.3725,6,0,0,8/23/18
Ford,Kuga,2018,8,Silver,2011,SUV,40556,2.0L,Automatic,Diesel,11000,5,5,Steering Wheel Shaking,0,22,8/22/18,1,31,1,0,0,8/22/18
Citroen,C3 Picasso,2018,4,Silver,2015,MPV,22551,1.6L,Manual,Diesel,7498,5,5,Flat Tyres,0,25,4/25/18,2,42.2494,2,0,0,4/25/18
Ford,Fiesta,2018,5,Black,2016,Hatchback,41365,1.5L,Manual,Diesel,7811,5,5,Flat Tyres,0,7,5/7/18,1,22.3433,1,0,0,5/7/18
Citroen,C4 Cactus,2018,4,Silver,2015,Hatchback,37472,1.6L,Manual,Diesel,7800,5,5,Electrical Issue,2,21,4/21/18,2,35.6,1,0,0,4/21/18
Honda,Jazz,2018,7,Black,2006,Hatchback,59881,1.4L,Manual,Petrol,2490,5,5,Steering Wheel Shaking,0,14,7/14/18,1,22.49,1,0,0,7/14/18
Ford,Focus,2018,7,Silver,2008,Hatchback,56000,1.6L,Automatic,Petrol,3199,5,5,Engine Issue,2,13,7/13/18,1,799.85,16,0,0,7/17/18
Citroen,Grand C4 Picasso,2018,5,Purple,2009,MPV,63000,1.6L,Manual,Diesel,3699,7,5,Flat Tyres,0,23,5/23/18,2,41.1097,2,0,0,5/23/18
Citroen,DS3 Cabrio,2017,9,Black,2013,Convertible,11627,1.6L,Manual,Petrol,8259,5,2,Warning Light,0,19,9/19/17,2,442.59,18,0,0,9/23/17
Dacia,Duster,2018,4,Red,2015,SUV,13587,1.5L,Manual,Diesel,8990,5,5,Flat Tyres,0,17,4/17/18,1,22.697,1,0,0,4/17/18
Citroen,C3,2018,6,Blue,2017,Hatchback,14047,1.2L,Manual,Petrol,8897,5,5,Sensor Malfunction,0,12,6/12/18,2,564.85,6,0,0,6/13/18
Citroen,DS3,2018,8,Silver,2015,Hatchback,8777,1.6L,Manual,Diesel,8995,5,3,Alternator Failing,0,21,8/21/18,2,259.9,4,0,0,8/22/18
Ford,Fiesta,2018,5,Silver,2002,Hatchback,52178,1.3L,Manual,Petrol,995,5,3,Warning Light,0,4,5/4/18,1,189.95,9,0,0,5/6/18
Ford,Ka,2018,7,Green,2009,Hatchback,54000,1.2L,Manual,Petrol,2800,4,3,Tyre Alignment,0,26,7/26/18,1,10.28,0.5,0,0,7/26/18
Honda,CR-V,2018,7,Red,2018,SUV,10,1.6L,Manual,Diesel,18800,5,5,Excessive Emissions,0,17,7/17/18,1,36.92,1,0,0,7/17/18
Citroen,Berlingo,2018,4,Blue,2014,MPV,14062,1.6L,Automatic,Diesel,9498,5,5,Starter Motor Issue,0,22,4/22/18,2,214.98,6,0,0,4/23/18
Fiat,500,2018,8,Green,2017,Hatchback,8407,1.2L,Manual,Petrol,10191,4,3,Starter Motor Issue,0,8,8/8/18,1,161.91,3,0,0,8/8/18
DS,3,2018,3,Red,2017,Hatchback,4539,1.2L,Manual,Petrol,10000,5,3,Warning Light,0,25,3/25/18,2,460,18,0,0,3/29/18
Ford,Edge,2018,8,White,2017,SUV,5026,2.0L,Manual,Diesel,29950,5,5,Warning Light,0,11,8/11/18,1,479.5,9,0,0,8/13/18
Fiat,500X,2018,5,Grey,2017,SUV,21911,1.6L,Manual,Diesel,11989,5,5,Radiator Leaking,0,1,5/1/18,1,279.78,2,0,0,5/1/18
Ford,Focus,2018,5,Gelb,2007,Hatchback,119000,1.6L,Manual,Petrol,1850,5,5,Transmission Issue,3,16,5/16/18,1,176.65,8,1,1,5/18/18
Abarth,595,2018,8,Black,2018,Hatchback,10,1.4L,Automatic,Petrol,18995,2,3,Starter Motor Issue,0,5,8/5/18,2,309.95,6,0,0,8/6/18
Ford,Kuga,2018,7,White,2015,SUV,43731,2.0L,Manual,Diesel,10810,5,5,Engine Issue,4,16,7/16/18,1,740.5,10,0,0,7/18/18
Honda,CR-V,2017,6,Black,2016,SUV,5423,1.6L,Automatic,Diesel,21995,5,5,Windscreen Crack,0,24,6/24/17,1,33.197,1,0,0,6/24/17
Ford,Ka+,2018,5,Gelb,2017,Hatchback,14000,1.2L,Manual,Petrol,8999,5,5,Alternator Failing,0,11,5/11/18,1,219.98,2,1,1,5/11/18
Ford,Mustang,2018,5,Red,2018,Convertible,2557,2.3L,Semi-Automatic,Petrol,31250,16,0,Windscreen Crack,0,22,5/22/18,1,38.75,1,1,0,5/22/18
Fiat,500X,2018,5,Grey,2017,SUV,8813,1.6L,Manual,Diesel,12301,5,5,Steering Wheel Shaking,0,1,5/1/18,1,32.301,1,0,0,5/1/18
Ford,Ka+,2018,4,Gelb,2017,Hatchback,3213,1.2L,Manual,Petrol,8480,5,5,Tyre Alignment,0,21,4/21/18,1,10.848,0.5,1,1,4/21/18
Honda,CR-V,2018,7,Brown,2012,SUV,54749,2.0L,Manual,Petrol,11995,5,5,Engine Issue,4,7,7/7/18,1,3624.522923,3062.121777,1,0,7/22/18
Bentley,Continental,2021,6,Black,2019,Coupe,3800,6.0L,Automatic,Petrol,169000,4,2,Excessive Emissions,0,15,6/15/21,3,212.1,3,0,0,6/15/21
Ford,Fiesta,2018,8,Silver,2005,Hatchback,50000,1.4L,Manual,Petrol,1790,5,3,Radiator Leaking,0,13,8/13/18,1,75.8,2,0,0,8/13/18
Fiat,500,2018,3,Grey,2013,Hatchback,21000,1.2L,Manual,Petrol,6695,4,3,Sensor Malfunction,0,24,3/24/18,1,394.75,3,0,0,3/24/18
Citroen,C2,2018,8,Silver,2005,Hatchback,97000,1.6L,Automatic,Petrol,1699,4,3,Electrical Issue,5,1,8/1/18,2,121.699,6,0,0,8/2/18
Ford,Fiesta,2018,8,Orange,2016,Hatchback,21042,1.6L,Manual,Petrol,12422,5,3,Warning Light,0,12,8/12/18,1,304.22,9,0,0,8/14/18
Honda,CR-V,2021,3,White,2019,SUV,5722,2.0L,Automatic,Petrol Hybrid,28465,5,5,Sensor Malfunction,0,8,3/8/21,1,1483.25,3,0,0,3/8/21
Ford,Mustang,2018,7,Red,2016,Coupe,7000,5.0L,Manual,Petrol,29480,4,3,Tyre Alignment,0,26,7/26/18,1,12.948,0.5,0,0,7/26/18
Ford,Mondeo,2018,5,Silver,2005,Hatchback,80000,2.2L,Manual,Diesel,2985,5,5,Steering Wheel Shaking,0,18,5/18/18,1,22.985,1,0,0,5/18/18
Fiat,500,2018,6,Yellow,2012,Hatchback,69357,0.9L,Manual,Petrol,3496,4,3,Tyre Alignment,0,20,6/20/18,1,10.3496,0.5,0,0,6/20/18
Ford,Mondeo,2018,6,Black,2011,Hatchback,104000,2.0L,Manual,Diesel,4290,5,5,Electrical Issue,2,22,6/22/18,1,18.58,0.5,0,0,6/22/18
Honda,CR-V,2018,5,Red,2015,SUV,14206,2.0L,Automatic,Petrol,15990,5,5,Steering Wheel Shaking,0,8,5/8/18,1,35.99,1,0,0,5/8/18
Ford,Ka+,2018,4,Gelb,2017,Hatchback,6832,1.2L,Manual,Petrol,9263,5,5,Steering Wheel Shaking,0,16,4/16/18,1,29.263,1,1,1,4/16/18
Ford,Transit Custom,2021,4,Blue,2019,Combi Van,29843,2.0L,Manual,Diesel,31194,6,6,Transmission Issue,1,1,4/1/21,1,173.582,4,0,0,4/2/21
Fiat,500L,2018,8,Blue,2015,MPV,16820,1.3L,Automatic,Diesel,8999,5,5,Brake Pads Worn,0,8,8/8/18,1,44.4995,2,0,0,8/8/18
Ferrari,458,2018,1,Silver,2013,Coupe,7001,4.5L,Automatic,Petrol,169000,2,2,Windscreen Crack,0,12,1/12/18,3,161.4,3,0,0,1/12/18
Ford,S-Max,2018,8,White,2014,MPV,34448,2.0L,Manual,Diesel,14000,7,5,Electrical Issue,4,1,8/1/18,1,82,2,0,0,8/1/18
Ford,Focus,2018,4,Gelb,2011,Hatchback,69850,1.6L,Manual,Petrol,6195,5,5,Excessive Emissions,0,3,4/3/18,1,25.5755,1,1,1,4/3/18
